,X,Y
0,10922,6599
1,10922,6600
2,10922,6601
3,10922,6602
4,10922,6603
5,10922,6604
6,10922,6605
7,10922,6606
8,10922,6607
9,10922,6608
10,10922,6609
11,10922,6610
12,10922,6611
13,10922,6612
14,10922,6613
15,10922,6614
16,10922,6615
17,10922,6616
18,10922,6617
19,10922,6618
20,10922,6619
21,10922,6620
22,10922,6621
23,10922,6622
24,10922,6623
25,10922,6624
26,10922,6625
27,10922,6626
28,10922,6627
29,10922,6628
30,10922,6629
31,10922,6630
32,10922,6631
33,10922,6632
34,10922,6633
35,10922,6634
36,10922,6635
37,10922,6636
38,10922,6637
39,10922,6638
40,10922,6639
41,10922,6640
42,10922,6641
43,10922,6642
44,10922,6643
45,10922,6644
46,10922,6645
47,10922,6646
48,10922,6647
49,10922,6648
50,10922,6649
51,10922,6650
52,10922,6651
53,10922,6652
54,10922,6653
55,10923,6599
56,10923,6600
57,10923,6601
58,10923,6602
59,10923,6603
60,10923,6604
61,10923,6605
62,10923,6606
63,10923,6607
64,10923,6608
65,10923,6609
66,10923,6610
67,10923,6611
68,10923,6612
69,10923,6613
70,10923,6614
71,10923,6615
72,10923,6616
73,10923,6617
74,10923,6618
75,10923,6619
76,10923,6620
77,10923,6621
78,10923,6622
79,10923,6623
80,10923,6624
81,10923,6625
82,10923,6626
83,10923,6627
84,10923,6628
85,10923,6629
86,10923,6630
87,10923,6631
88,10923,6632
89,10923,6633
90,10923,6634
91,10923,6635
92,10923,6636
93,10923,6637
94,10923,6638
95,10923,6639
96,10923,6640
97,10923,6641
98,10923,6642
99,10923,6643
100,10923,6644
101,10923,6645
102,10923,6646
103,10923,6647
104,10923,6648
105,10923,6649
106,10923,6650
107,10923,6651
108,10923,6652
109,10923,6653
110,10924,6599
111,10924,6600
112,10924,6601
113,10924,6602
114,10924,6603
115,10924,6604
116,10924,6605
117,10924,6606
118,10924,6607
119,10924,6608
120,10924,6609
121,10924,6610
122,10924,6611
123,10924,6612
124,10924,6613
125,10924,6614
126,10924,6615
127,10924,6616
128,10924,6617
129,10924,6618
130,10924,6619
131,10924,6620
132,10924,6621
133,10924,6622
134,10924,6623
135,10924,6624
136,10924,6625
137,10924,6626
138,10924,6627
139,10924,6628
140,10924,6629
141,10924,6630
142,10924,6631
143,10924,6632
144,10924,6633
145,10924,6634
146,10924,6635
147,10924,6636
148,10924,6637
149,10924,6638
150,10924,6639
151,10924,6640
152,10924,6641
153,10924,6642
154,10924,6643
155,10924,6644
156,10924,6645
157,10924,6646
158,10924,6647
159,10924,6648
160,10924,6649
161,10924,6650
162,10924,6651
163,10924,6652
164,10924,6653
165,10925,6599
166,10925,6600
167,10925,6601
168,10925,6602
169,10925,6603
170,10925,6604
171,10925,6605
172,10925,6606
173,10925,6607
174,10925,6608
175,10925,6609
176,10925,6610
177,10925,6611
178,10925,6612
179,10925,6613
180,10925,6614
181,10925,6615
182,10925,6616
183,10925,6617
184,10925,6618
185,10925,6619
186,10925,6620
187,10925,6621
188,10925,6622
189,10925,6623
190,10925,6624
191,10925,6625
192,10925,6626
193,10925,6627
194,10925,6628
195,10925,6629
196,10925,6630
197,10925,6631
198,10925,6632
199,10925,6633
200,10925,6634
201,10925,6635
202,10925,6636
203,10925,6637
204,10925,6638
205,10925,6639
206,10925,6640
207,10925,6641
208,10925,6642
209,10925,6643
210,10925,6644
211,10925,6645
212,10925,6646
213,10925,6647
214,10925,6648
215,10925,6649
216,10925,6650
217,10925,6651
218,10925,6652
219,10925,6653
220,10926,6599
221,10926,6600
222,10926,6601
223,10926,6602
224,10926,6603
225,10926,6604
226,10926,6605
227,10926,6606
228,10926,6607
229,10926,6608
230,10926,6609
231,10926,6610
232,10926,6611
233,10926,6612
234,10926,6613
235,10926,6614
236,10926,6615
237,10926,6616
238,10926,6617
239,10926,6618
240,10926,6619
241,10926,6620
242,10926,6621
243,10926,6622
244,10926,6623
245,10926,6624
246,10926,6625
247,10926,6626
248,10926,6627
249,10926,6628
250,10926,6629
251,10926,6630
252,10926,6631
253,10926,6632
254,10926,6633
255,10926,6634
256,10926,6635
257,10926,6636
258,10926,6637
259,10926,6638
260,10926,6639
261,10926,6640
262,10926,6641
263,10926,6642
264,10926,6643
265,10926,6644
266,10926,6645
267,10926,6646
268,10926,6647
269,10926,6648
270,10926,6649
271,10926,6650
272,10926,6651
273,10926,6652
274,10926,6653
275,10927,6599
276,10927,6600
277,10927,6601
278,10927,6602
279,10927,6603
280,10927,6604
281,10927,6605
282,10927,6606
283,10927,6607
284,10927,6608
285,10927,6609
286,10927,6610
287,10927,6611
288,10927,6612
289,10927,6613
290,10927,6614
291,10927,6615
292,10927,6616
293,10927,6617
294,10927,6618
295,10927,6619
296,10927,6620
297,10927,6621
298,10927,6622
299,10927,6623
300,10927,6624
301,10927,6625
302,10927,6626
303,10927,6627
304,10927,6628
305,10927,6629
306,10927,6630
307,10927,6631
308,10927,6632
309,10927,6633
310,10927,6634
311,10927,6635
312,10927,6636
313,10927,6637
314,10927,6638
315,10927,6639
316,10927,6640
317,10927,6641
318,10927,6642
319,10927,6643
320,10927,6644
321,10927,6645
322,10927,6646
323,10927,6647
324,10927,6648
325,10927,6649
326,10927,6650
327,10927,6651
328,10927,6652
329,10927,6653
330,10928,6599
331,10928,6600
332,10928,6601
333,10928,6602
334,10928,6603
335,10928,6604
336,10928,6605
337,10928,6606
338,10928,6607
339,10928,6608
340,10928,6609
341,10928,6610
342,10928,6611
343,10928,6612
344,10928,6613
345,10928,6614
346,10928,6615
347,10928,6616
348,10928,6617
349,10928,6618
350,10928,6619
351,10928,6620
352,10928,6621
353,10928,6622
354,10928,6623
355,10928,6624
356,10928,6625
357,10928,6626
358,10928,6627
359,10928,6628
360,10928,6629
361,10928,6630
362,10928,6631
363,10928,6632
364,10928,6633
365,10928,6634
366,10928,6635
367,10928,6636
368,10928,6637
369,10928,6638
370,10928,6639
371,10928,6640
372,10928,6641
373,10928,6642
374,10928,6643
375,10928,6644
376,10928,6645
377,10928,6646
378,10928,6647
379,10928,6648
380,10928,6649
381,10928,6650
382,10928,6651
383,10928,6652
384,10928,6653
385,10929,6599
386,10929,6600
387,10929,6601
388,10929,6602
389,10929,6603
390,10929,6604
391,10929,6605
392,10929,6606
393,10929,6607
394,10929,6608
395,10929,6609
396,10929,6610
397,10929,6611
398,10929,6612
399,10929,6613
400,10929,6614
401,10929,6615
