,X,Y
0,87745,54077
1,87745,54078
2,87745,54079
3,87745,54196
4,87745,54197
5,87745,54198
6,87745,54199
7,87745,54200
8,87745,54201
9,87745,54202
10,87745,54203
11,87745,54204
12,87745,54205
13,87745,54206
14,87745,54207
15,87745,54208
16,87745,54209
17,87745,54210
18,87745,54211
19,87745,54212
20,87745,54213
21,87745,54214
22,87745,54215
23,87745,54216
24,87745,54217
25,87745,54218
26,87745,54219
27,87745,54220
28,87745,54221
29,87745,54222
30,87745,54223
31,87745,54224
32,87745,54225
33,87745,54226
34,87745,54227
35,87745,54228
36,87745,54229
37,87745,54230
38,87745,54231
39,87745,54232
40,87745,54233
41,87745,54234
42,87745,54235
43,87745,54236
44,87745,54237
45,87745,54238
46,87745,54239
47,87745,54240
48,87745,54241
49,87745,54242
50,87745,54243
51,87745,54244
52,87745,54245
53,87745,54246
54,87745,54247
55,87745,54248
56,87745,54249
57,87745,54250
58,87745,54251
59,87745,54252
60,87745,54253
61,87745,54254
62,87745,54255
63,87745,54256
64,87745,54257
65,87745,54258
66,87745,54259
67,87745,54260
68,87745,54261
69,87745,54262
70,87745,54263
71,87745,54264
72,87745,54265
73,87745,54266
74,87745,54267
75,87745,54268
76,87745,54269
77,87745,54270
78,87745,54271
79,87745,54272
80,87745,54273
81,87745,54274
82,87745,54275
83,87745,54276
84,87745,54277
85,87745,54278
86,87745,54279
87,87745,54280
88,87745,54281
89,87745,54282
90,87745,54283
91,87745,54284
92,87745,54285
93,87745,54286
94,87745,54287
95,87745,54288
96,87745,54289
97,87745,54290
98,87745,54291
99,87745,54292
100,87745,54293
101,87745,54294
102,87745,54295
103,87745,54296
104,87745,54297
105,87745,54298
106,87745,54299
107,87745,54300
108,87745,54301
109,87745,54302
110,87745,54303
111,87745,54304
112,87745,54305
113,87745,54306
114,87745,54307
115,87745,54308
116,87745,54309
117,87745,54310
118,87745,54311
119,87745,54312
120,87745,54313
121,87745,54314
122,87745,54315
123,87745,54316
124,87745,54317
125,87745,54318
126,87745,54319
127,87745,54320
128,87745,54321
129,87745,54322
130,87745,54323
131,87745,54324
132,87745,54325
133,87745,54326
134,87745,54327
135,87745,54328
136,87745,54329
137,87745,54330
138,87745,54331
139,87745,54332
140,87745,54333
141,87745,54334
142,87745,54335
143,87745,54336
144,87745,54337
145,87745,54338
146,87745,54339
147,87745,54340
148,87745,54341
149,87745,54342
150,87745,54343
151,87745,54344
152,87745,54345
153,87745,54346
154,87745,54347
155,87745,54348
156,87745,54349
157,87745,54350
158,87745,54351
159,87745,54352
160,87745,54353
161,87745,54354
162,87745,54355
163,87745,54356
164,87745,54357
165,87745,54358
166,87745,54359
167,87745,54360
168,87745,54361
169,87745,54362
170,87745,54363
171,87745,54364
172,87745,54365
173,87745,54366
174,87745,54367
175,87745,54368
176,87745,54369
177,87745,54370
178,87745,54371
179,87745,54372
180,87745,54373
181,87745,54374
182,87745,54375
183,87745,54376
184,87745,54377
185,87745,54378
186,87745,54379
187,87745,54380
188,87745,54381
189,87745,54382
190,87745,54383
191,87745,54384
192,87745,54385
193,87745,54386
194,87745,54387
195,87745,54388
196,87745,54389
197,87745,54390
198,87745,54391
199,87745,54392
200,87745,54393
201,87745,54394
202,87745,54395
203,87745,54396
204,87745,54397
205,87745,54398
206,87745,54399
207,87745,54400
208,87745,54401
209,87745,54402
210,87745,54403
211,87745,54404
212,87745,54405
213,87745,54406
214,87745,54407
215,87745,54408
216,87745,54409
217,87745,54410
218,87745,54411
219,87745,54412
220,87745,54413
221,87745,54414
222,87745,54415
223,87745,54416
224,87745,54417
225,87745,54418
226,87745,54419
227,87745,54420
228,87745,54421
229,87745,54422
230,87745,54423
231,87745,54424
232,87745,54425
233,87745,54426
234,87745,54427
235,87745,54428
236,87745,54429
237,87745,54430
238,87745,54431
239,87745,54432
240,87745,54433
241,87745,54434
242,87745,54435
243,87745,54436
244,87745,54437
245,87745,54438
246,87745,54439
247,87745,54440
248,87745,54441
249,87745,54442
250,87745,54443
251,87745,54444
252,87745,54445
253,87745,54446
254,87745,54447
255,87745,54448
256,87745,54449
257,87745,54450
258,87745,54451
259,87745,54452
260,87745,54453
261,87745,54454
262,87745,54455
263,87745,54456
264,87745,54457
265,87745,54458
266,87745,54459
267,87745,54460
268,87745,54461
269,87745,54462
270,87745,54463
271,87745,54464
272,87745,54465
273,87745,54466
274,87745,54467
275,87745,54468
276,87745,54469
277,87745,54470
278,87745,54471
279,87745,54472
280,87745,54473
281,87745,54474
282,87745,54475
283,87745,54476
284,87745,54477
285,87745,54478
286,87745,54479
287,87745,54480
288,87745,54481
289,87745,54482
290,87745,54483
291,87745,54484
292,87745,54485
293,87745,54486
294,87745,54487
295,87745,54488
296,87745,54489
297,87745,54490
298,87745,54491
299,87745,54492
300,87745,54493
301,87745,54494
302,87745,54495
303,87746,54077
304,87746,54078
305,87746,54196
306,87746,54197
307,87746,54198
308,87746,54199
309,87746,54200
310,87746,54201
311,87746,54202
312,87746,54203
313,87746,54204
314,87746,54205
315,87746,54206
316,87746,54207
317,87746,54208
318,87746,54209
319,87746,54210
320,87746,54211
321,87746,54212
322,87746,54213
323,87746,54214
324,87746,54215
325,87746,54216
326,87746,54217
327,87746,54218
328,87746,54219
329,87746,54220
330,87746,54221
331,87746,54222
332,87746,54223
333,87746,54224
334,87746,54225
335,87746,54226
336,87746,54227
337,87746,54228
338,87746,54229
339,87746,54230
340,87746,54231
341,87746,54232
342,87746,54233
343,87746,54234
344,87746,54235
345,87746,54236
346,87746,54237
347,87746,54238
348,87746,54239
349,87746,54240
350,87746,54241
351,87746,54242
352,87746,54243
353,87746,54244
354,87746,54245
355,87746,54246
356,87746,54247
357,87746,54248
358,87746,54249
359,87746,54250
360,87746,54251
361,87746,54252
362,87746,54253
363,87746,54254
364,87746,54255
365,87746,54256
366,87746,54257
367,87746,54258
368,87746,54259
369,87746,54260
370,87746,54261
371,87746,54262
372,87746,54263
373,87746,54264
374,87746,54265
375,87746,54266
376,87746,54267
377,87746,54268
378,87746,54269
379,87746,54270
380,87746,54271
381,87746,54272
382,87746,54273
383,87746,54274
384,87746,54275
385,87746,54276
386,87746,54277
387,87746,54278
388,87746,54279
389,87746,54280
390,87746,54281
391,87746,54282
392,87746,54283
393,87746,54284
394,87746,54285
395,87746,54286
396,87746,54287
397,87746,54288
398,87746,54289
399,87746,54290
400,87746,54291
401,87746,54292
402,87746,54293
403,87746,54294
404,87746,54295
405,87746,54296
406,87746,54297
407,87746,54298
408,87746,54299
409,87746,54300
410,87746,54301
411,87746,54302
412,87746,54303
413,87746,54304
414,87746,54305
415,87746,54306
416,87746,54307
417,87746,54308
418,87746,54309
419,87746,54310
420,87746,54311
421,87746,54312
422,87746,54313
423,87746,54314
424,87746,54315
425,87746,54316
426,87746,54317
427,87746,54318
428,87746,54319
429,87746,54320
