,X,Y
0,2571,1636
1,2571,1637
2,2571,1638
3,2571,1639
4,2571,1640
5,2571,1641
6,2571,1642
7,2571,1643
8,2571,1644
9,2571,1645
10,2571,1646
11,2571,1647
12,2571,1648
13,2571,1649
14,2572,1636
15,2572,1637
16,2572,1638
17,2572,1639
18,2572,1640
19,2572,1641
20,2572,1642
21,2572,1643
22,2572,1644
23,2572,1645
24,2572,1646
25,2572,1647
26,2572,1648
27,2572,1649
28,2573,1636
29,2573,1637
30,2573,1638
31,2573,1639
32,2573,1640
33,2573,1641
34,2573,1642
35,2573,1643
36,2573,1644
37,2573,1645
38,2573,1646
39,2573,1647
40,2573,1648
41,2573,1649
42,2574,1636
43,2574,1637
44,2574,1638
45,2574,1639
46,2574,1640
47,2574,1641
48,2574,1642
49,2574,1643
50,2574,1644
51,2574,1645
52,2574,1646
53,2574,1647
54,2574,1648
55,2574,1649
56,2575,1636
57,2575,1637
58,2575,1638
59,2575,1639
60,2575,1640
61,2575,1641
62,2575,1642
63,2575,1643
64,2575,1644
65,2575,1645
66,2575,1646
67,2575,1647
68,2575,1648
69,2575,1649
70,2576,1636
71,2576,1637
72,2576,1638
73,2576,1639
74,2576,1640
75,2576,1641
76,2576,1642
77,2576,1643
78,2576,1644
79,2576,1645
80,2576,1646
81,2576,1647
82,2576,1648
83,2576,1649
84,2577,1636
85,2577,1637
86,2577,1638
87,2577,1639
88,2577,1640
89,2577,1641
90,2577,1642
91,2577,1643
92,2577,1644
93,2577,1645
94,2577,1646
95,2577,1647
96,2577,1648
97,2577,1649
98,2578,1636
99,2578,1637
100,2578,1638
101,2578,1639
102,2578,1640
103,2578,1641
104,2578,1642
105,2578,1643
106,2578,1644
107,2578,1645
108,2578,1646
109,2578,1647
110,2578,1648
111,2578,1649
112,2579,1636
113,2579,1637
114,2579,1638
115,2579,1639
116,2579,1640
117,2579,1641
118,2579,1642
119,2579,1643
120,2579,1644
121,2579,1645
122,2579,1646
123,2579,1647
124,2579,1648
125,2579,1649
126,2580,1636
127,2580,1637
128,2580,1638
129,2580,1639
130,2580,1640
131,2580,1641
132,2580,1642
133,2580,1643
134,2580,1644
135,2580,1645
136,2580,1646
137,2580,1647
138,2580,1648
139,2580,1649
140,2581,1636
141,2581,1637
142,2581,1638
143,2581,1639
144,2581,1640
145,2581,1641
146,2581,1642
147,2581,1643
148,2581,1644
149,2581,1645
150,2581,1646
151,2581,1647
152,2581,1648
153,2581,1649
154,2582,1636
155,2582,1637
156,2582,1638
157,2582,1639
158,2582,1640
159,2582,1641
160,2582,1642
161,2582,1643
162,2582,1644
163,2582,1645
164,2582,1646
165,2582,1647
166,2582,1648
167,2582,1649
