,X,Y
0,22118,13807
1,22118,13808
2,22118,13809
3,22118,13810
4,22118,13811
5,22118,13812
6,22118,13813
7,22118,13814
8,22118,13815
9,22118,13816
10,22118,13817
11,22118,13818
12,22118,13819
13,22118,13820
14,22118,13821
15,22118,13822
16,22118,13823
17,22118,13824
18,22118,13825
19,22118,13826
20,22118,13827
21,22118,13828
22,22118,13829
23,22118,13830
24,22119,13807
25,22119,13808
26,22119,13809
27,22119,13810
28,22119,13811
29,22119,13812
30,22119,13813
31,22119,13814
32,22119,13815
33,22119,13816
34,22119,13817
35,22119,13818
36,22119,13819
37,22119,13820
38,22119,13821
39,22119,13822
40,22119,13823
41,22119,13824
42,22119,13825
43,22119,13826
44,22119,13827
45,22119,13828
46,22119,13829
47,22119,13830
48,22120,13806
49,22120,13807
50,22120,13808
51,22120,13809
52,22120,13810
53,22120,13811
54,22120,13812
55,22120,13813
56,22120,13814
57,22120,13815
58,22120,13816
59,22120,13817
60,22120,13818
61,22120,13819
62,22120,13820
63,22120,13821
64,22120,13822
65,22120,13823
66,22120,13824
67,22120,13825
68,22120,13826
69,22120,13827
70,22120,13828
71,22120,13829
72,22120,13830
73,22121,13805
74,22121,13806
75,22121,13807
76,22121,13808
77,22121,13809
78,22121,13810
79,22121,13811
80,22121,13812
81,22121,13813
82,22121,13814
83,22121,13815
84,22121,13816
85,22121,13817
86,22121,13818
87,22121,13819
88,22121,13820
89,22121,13821
90,22121,13822
91,22121,13823
92,22121,13824
93,22121,13825
94,22121,13826
95,22121,13827
96,22121,13828
97,22121,13829
98,22121,13830
99,22122,13805
100,22122,13806
101,22122,13807
102,22122,13808
103,22122,13809
104,22122,13810
105,22122,13811
106,22122,13812
107,22122,13813
108,22122,13814
109,22122,13815
110,22122,13816
111,22122,13817
112,22122,13818
113,22122,13819
114,22122,13820
115,22122,13821
116,22122,13822
117,22122,13823
118,22122,13824
119,22122,13825
120,22122,13826
121,22122,13827
122,22122,13828
123,22122,13829
124,22122,13830
125,22123,13805
126,22123,13806
127,22123,13807
128,22123,13808
129,22123,13809
130,22123,13810
131,22123,13811
132,22123,13812
133,22123,13813
134,22123,13814
135,22123,13815
136,22123,13816
137,22123,13817
138,22123,13818
139,22123,13819
140,22123,13820
141,22123,13821
142,22123,13822
143,22123,13823
144,22123,13824
145,22123,13825
146,22123,13826
147,22123,13827
148,22123,13828
149,22123,13829
150,22123,13830
151,22124,13805
152,22124,13806
153,22124,13807
154,22124,13808
155,22124,13809
156,22124,13810
157,22124,13811
158,22124,13812
159,22124,13813
160,22124,13814
161,22124,13815
162,22124,13816
163,22124,13817
164,22124,13818
165,22124,13819
166,22124,13820
167,22124,13821
168,22124,13822
169,22124,13823
170,22124,13824
171,22124,13825
172,22124,13826
