,X,Y
0,82080,52156
1,82080,52157
2,82080,52158
3,82080,52159
4,82080,52160
5,82080,52162
6,82080,52163
7,82080,52164
8,82081,52154
9,82081,52155
10,82081,52156
11,82081,52157
12,82081,52158
13,82081,52159
14,82081,52160
15,82081,52161
16,82081,52162
17,82081,52163
18,82081,52164
19,82081,52165
20,82081,52166
21,82081,52359
22,82082,52154
23,82082,52155
24,82082,52156
25,82082,52157
26,82082,52158
27,82082,52159
28,82082,52160
29,82082,52161
30,82082,52162
31,82082,52163
32,82082,52164
33,82082,52165
34,82082,52166
35,82082,52358
36,82082,52359
37,82083,52153
38,82083,52154
39,82083,52155
40,82083,52156
41,82083,52157
42,82083,52158
43,82083,52159
44,82083,52160
45,82083,52161
46,82083,52162
47,82083,52163
48,82083,52164
49,82083,52165
50,82083,52166
51,82083,52167
52,82083,52357
53,82083,52358
54,82083,52359
55,82084,52153
56,82084,52154
57,82084,52155
58,82084,52156
59,82084,52157
60,82084,52158
61,82084,52159
62,82084,52160
63,82084,52161
64,82084,52162
65,82084,52163
66,82084,52164
67,82084,52165
68,82084,52166
69,82084,52167
70,82084,52356
71,82084,52357
72,82084,52358
73,82084,52359
74,82085,52153
75,82085,52154
76,82085,52155
77,82085,52156
78,82085,52157
79,82085,52158
80,82085,52159
81,82085,52160
82,82085,52161
83,82085,52162
84,82085,52163
85,82085,52164
86,82085,52165
87,82085,52166
88,82085,52167
89,82085,52168
90,82085,52169
91,82085,52170
92,82085,52174
93,82085,52175
94,82085,52356
95,82085,52357
96,82085,52358
97,82085,52359
98,82086,52153
99,82086,52154
100,82086,52155
101,82086,52156
102,82086,52157
103,82086,52158
104,82086,52159
105,82086,52160
106,82086,52161
107,82086,52162
108,82086,52163
109,82086,52164
110,82086,52165
111,82086,52166
112,82086,52167
113,82086,52168
114,82086,52169
115,82086,52170
116,82086,52171
117,82086,52172
118,82086,52173
119,82086,52174
120,82086,52175
121,82086,52176
122,82086,52355
123,82086,52356
124,82086,52357
125,82086,52358
126,82086,52359
127,82087,52150
128,82087,52151
129,82087,52153
130,82087,52154
131,82087,52155
132,82087,52156
133,82087,52157
134,82087,52158
135,82087,52159
136,82087,52160
137,82087,52161
138,82087,52162
139,82087,52163
140,82087,52164
141,82087,52165
142,82087,52166
143,82087,52167
144,82087,52168
145,82087,52169
146,82087,52170
147,82087,52171
148,82087,52172
149,82087,52173
150,82087,52174
151,82087,52175
152,82087,52176
153,82087,52177
154,82087,52178
155,82087,52179
156,82087,52180
157,82087,52355
158,82087,52356
159,82087,52357
160,82087,52358
161,82087,52359
162,82088,52149
163,82088,52150
164,82088,52151
165,82088,52152
166,82088,52153
167,82088,52154
168,82088,52155
169,82088,52156
170,82088,52157
171,82088,52158
172,82088,52159
173,82088,52160
174,82088,52161
175,82088,52162
176,82088,52163
177,82088,52164
178,82088,52165
179,82088,52166
180,82088,52167
181,82088,52168
182,82088,52169
183,82088,52170
184,82088,52171
185,82088,52172
186,82088,52173
187,82088,52174
188,82088,52175
189,82088,52176
190,82088,52177
191,82088,52178
192,82088,52179
193,82088,52180
194,82088,52181
195,82088,52182
196,82088,52183
197,82088,52184
198,82088,52355
199,82088,52356
200,82088,52357
201,82088,52358
202,82088,52359
203,82089,52149
204,82089,52150
205,82089,52151
206,82089,52152
207,82089,52153
208,82089,52154
209,82089,52155
210,82089,52156
211,82089,52157
212,82089,52158
213,82089,52159
214,82089,52160
215,82089,52161
216,82089,52162
217,82089,52163
218,82089,52164
219,82089,52165
220,82089,52166
221,82089,52167
222,82089,52168
223,82089,52169
224,82089,52170
225,82089,52171
226,82089,52172
227,82089,52173
228,82089,52174
229,82089,52175
230,82089,52176
231,82089,52177
232,82089,52178
233,82089,52179
234,82089,52180
235,82089,52181
236,82089,52182
237,82089,52183
238,82089,52184
239,82089,52185
240,82089,52186
241,82089,52187
242,82089,52188
243,82089,52189
244,82089,52190
245,82089,52330
246,82089,52331
247,82089,52350
248,82089,52351
249,82089,52353
250,82089,52354
251,82089,52355
252,82089,52356
253,82089,52357
254,82089,52358
255,82089,52359
256,82090,52148
257,82090,52149
258,82090,52150
259,82090,52151
260,82090,52152
261,82090,52153
262,82090,52154
263,82090,52155
264,82090,52156
265,82090,52157
266,82090,52158
267,82090,52159
268,82090,52160
269,82090,52161
270,82090,52162
271,82090,52163
272,82090,52164
273,82090,52165
274,82090,52166
275,82090,52167
276,82090,52168
277,82090,52169
278,82090,52170
279,82090,52171
280,82090,52172
281,82090,52173
282,82090,52174
283,82090,52175
284,82090,52176
285,82090,52177
286,82090,52178
287,82090,52179
288,82090,52180
289,82090,52181
290,82090,52182
291,82090,52183
292,82090,52184
293,82090,52185
294,82090,52186
295,82090,52187
296,82090,52188
297,82090,52189
298,82090,52190
299,82090,52191
300,82090,52192
301,82090,52193
302,82090,52329
303,82090,52330
304,82090,52331
305,82090,52332
306,82090,52350
307,82090,52351
308,82090,52352
309,82090,52353
310,82090,52354
311,82090,52355
312,82090,52356
313,82090,52357
314,82090,52358
315,82090,52359
316,82091,52148
317,82091,52149
318,82091,52150
319,82091,52151
320,82091,52152
321,82091,52153
322,82091,52154
323,82091,52155
324,82091,52156
325,82091,52157
326,82091,52158
