,X,Y
0,10285,6261
1,10285,6262
2,10285,6263
3,10285,6264
4,10285,6265
5,10285,6266
6,10285,6267
7,10285,6268
8,10285,6269
9,10285,6270
10,10285,6271
11,10285,6272
12,10285,6273
13,10285,6274
14,10285,6275
15,10285,6276
16,10285,6277
17,10285,6278
18,10285,6279
19,10285,6280
20,10285,6281
21,10285,6282
22,10285,6283
23,10285,6284
24,10285,6285
25,10285,6286
26,10285,6287
27,10285,6288
28,10285,6289
29,10285,6290
30,10285,6291
31,10285,6292
32,10285,6293
33,10285,6294
34,10285,6295
35,10285,6296
36,10285,6297
37,10285,6298
38,10285,6299
39,10285,6300
40,10285,6301
41,10285,6302
42,10285,6303
43,10285,6304
44,10285,6305
45,10285,6306
46,10285,6307
47,10285,6308
48,10285,6309
49,10285,6310
50,10285,6311
51,10285,6312
52,10285,6313
53,10285,6314
54,10285,6315
55,10285,6316
56,10285,6317
57,10285,6318
58,10285,6319
59,10286,6261
60,10286,6262
61,10286,6263
62,10286,6264
63,10286,6265
64,10286,6266
65,10286,6267
66,10286,6268
67,10286,6269
68,10286,6270
69,10286,6271
70,10286,6272
71,10286,6273
72,10286,6274
73,10286,6275
74,10286,6276
75,10286,6277
76,10286,6278
77,10286,6279
78,10286,6280
79,10286,6281
80,10286,6282
81,10286,6283
82,10286,6284
83,10286,6285
84,10286,6286
85,10286,6287
86,10286,6288
87,10286,6289
88,10286,6290
89,10286,6291
90,10286,6292
91,10286,6293
92,10286,6294
93,10286,6295
94,10286,6296
95,10286,6297
96,10286,6298
97,10286,6299
98,10286,6300
99,10286,6301
100,10286,6302
101,10286,6303
102,10286,6304
103,10286,6305
104,10286,6306
105,10286,6307
106,10286,6308
107,10286,6309
108,10286,6310
109,10286,6311
110,10286,6312
111,10286,6313
112,10286,6314
113,10286,6315
114,10286,6316
115,10286,6317
116,10286,6318
117,10286,6319
118,10287,6261
119,10287,6262
120,10287,6263
121,10287,6264
122,10287,6265
123,10287,6266
124,10287,6267
125,10287,6268
126,10287,6269
127,10287,6270
128,10287,6271
129,10287,6272
130,10287,6273
131,10287,6274
132,10287,6275
133,10287,6276
134,10287,6277
135,10287,6278
136,10287,6279
137,10287,6280
138,10287,6281
139,10287,6282
140,10287,6283
141,10287,6284
142,10287,6285
143,10287,6286
144,10287,6287
145,10287,6288
146,10287,6289
147,10287,6290
148,10287,6291
149,10287,6292
150,10287,6293
151,10287,6294
152,10287,6295
153,10287,6296
154,10287,6297
155,10287,6298
156,10287,6299
157,10287,6300
158,10287,6301
159,10287,6302
160,10287,6303
161,10287,6304
162,10287,6305
163,10287,6306
164,10287,6307
165,10287,6308
166,10287,6309
167,10287,6310
168,10287,6311
169,10287,6312
170,10287,6313
171,10287,6314
172,10287,6315
173,10287,6316
174,10287,6317
175,10287,6318
176,10287,6319
177,10288,6261
178,10288,6262
179,10288,6263
180,10288,6264
181,10288,6265
182,10288,6266
183,10288,6267
184,10288,6268
185,10288,6269
186,10288,6270
187,10288,6271
188,10288,6272
189,10288,6273
190,10288,6274
191,10288,6275
192,10288,6276
193,10288,6277
194,10288,6278
195,10288,6279
196,10288,6280
197,10288,6281
198,10288,6282
199,10288,6283
200,10288,6284
201,10288,6285
202,10288,6286
203,10288,6287
204,10288,6288
205,10288,6289
206,10288,6290
207,10288,6291
208,10288,6292
209,10288,6293
210,10288,6294
211,10288,6295
212,10288,6296
213,10288,6297
214,10288,6298
215,10288,6299
216,10288,6300
217,10288,6301
218,10288,6302
219,10288,6303
220,10288,6304
221,10288,6305
222,10288,6306
223,10288,6307
224,10288,6308
225,10288,6309
226,10288,6310
227,10288,6311
228,10288,6312
229,10288,6313
230,10288,6314
231,10288,6315
232,10288,6316
233,10288,6317
234,10288,6318
235,10288,6319
236,10289,6261
237,10289,6262
238,10289,6263
239,10289,6264
240,10289,6265
241,10289,6266
242,10289,6267
243,10289,6268
244,10289,6269
245,10289,6270
246,10289,6271
247,10289,6272
248,10289,6273
249,10289,6274
250,10289,6275
251,10289,6276
252,10289,6277
253,10289,6278
254,10289,6279
255,10289,6280
256,10289,6281
257,10289,6282
258,10289,6283
259,10289,6284
260,10289,6285
261,10289,6286
262,10289,6287
263,10289,6288
264,10289,6289
265,10289,6290
266,10289,6291
267,10289,6292
268,10289,6293
269,10289,6294
270,10289,6295
271,10289,6296
272,10289,6297
273,10289,6298
274,10289,6299
275,10289,6300
276,10289,6301
277,10289,6302
278,10289,6303
279,10289,6304
280,10289,6305
281,10289,6306
282,10289,6307
283,10289,6308
284,10289,6309
285,10289,6310
286,10289,6311
287,10289,6312
288,10289,6313
289,10289,6314
290,10289,6315
291,10289,6316
292,10289,6317
293,10289,6318
294,10289,6319
295,10290,6261
296,10290,6262
297,10290,6263
298,10290,6264
299,10290,6265
300,10290,6266
301,10290,6267
302,10290,6268
303,10290,6269
304,10290,6270
305,10290,6271
306,10290,6272
307,10290,6273
308,10290,6274
309,10290,6275
310,10290,6276
311,10290,6277
312,10290,6278
313,10290,6279
314,10290,6280
315,10290,6281
316,10290,6282
317,10290,6283
318,10290,6284
319,10290,6285
320,10290,6286
321,10290,6287
322,10290,6288
323,10290,6289
324,10290,6290
325,10290,6291
326,10290,6292
327,10290,6293
328,10290,6294
329,10290,6295
330,10290,6296
331,10290,6297
332,10290,6298
333,10290,6299
334,10290,6300
335,10290,6301
336,10290,6302
337,10290,6303
338,10290,6304
339,10290,6305
340,10290,6306
341,10290,6307
342,10290,6308
343,10290,6309
344,10290,6310
345,10290,6311
346,10290,6312
347,10290,6313
348,10290,6314
349,10290,6315
350,10290,6316
351,10290,6317
352,10290,6318
353,10290,6319
