,X,Y
0,1319,818
1,1319,819
2,1319,820
3,1319,821
4,1319,822
5,1319,823
6,1319,824
7,1320,818
8,1320,819
9,1320,820
10,1320,821
11,1320,822
12,1320,823
13,1320,824
14,1321,818
15,1321,819
16,1321,820
17,1321,821
18,1321,822
19,1321,823
20,1321,824
21,1322,818
22,1322,819
23,1322,820
24,1322,821
25,1322,822
26,1322,823
27,1322,824
28,1323,818
29,1323,819
30,1323,820
31,1323,821
32,1323,822
33,1323,823
34,1323,824
35,1324,818
36,1324,819
37,1324,820
38,1324,821
39,1324,822
40,1324,823
41,1324,824
42,1325,818
43,1325,819
44,1325,820
45,1325,821
46,1325,822
47,1325,823
48,1325,824
