,X,Y
0,2673,1594
1,2673,1595
2,2673,1596
3,2673,1597
4,2673,1598
5,2673,1599
6,2673,1600
7,2673,1601
8,2673,1602
9,2673,1603
10,2673,1604
11,2673,1605
12,2673,1606
13,2673,1607
14,2673,1608
15,2674,1594
16,2674,1595
17,2674,1596
18,2674,1597
19,2674,1598
20,2674,1599
21,2674,1600
22,2674,1601
23,2674,1602
24,2674,1603
25,2674,1604
26,2674,1605
27,2674,1606
28,2674,1607
29,2674,1608
30,2675,1594
31,2675,1595
32,2675,1596
33,2675,1597
34,2675,1598
35,2675,1599
36,2675,1600
37,2675,1601
38,2675,1602
39,2675,1603
40,2675,1604
41,2675,1605
42,2675,1606
43,2675,1607
44,2675,1608
45,2676,1594
46,2676,1595
47,2676,1596
48,2676,1597
49,2676,1598
50,2676,1599
51,2676,1600
52,2676,1601
53,2676,1602
54,2676,1603
55,2676,1604
56,2676,1605
57,2676,1606
58,2676,1607
59,2676,1608
60,2677,1594
61,2677,1595
62,2677,1596
63,2677,1597
64,2677,1598
65,2677,1599
66,2677,1600
67,2677,1601
68,2677,1602
69,2677,1603
70,2677,1604
71,2677,1605
72,2677,1606
73,2677,1607
74,2677,1608
75,2678,1594
76,2678,1595
77,2678,1596
78,2678,1597
79,2678,1598
80,2678,1599
81,2678,1600
82,2678,1601
83,2678,1602
84,2678,1603
85,2678,1604
86,2678,1605
87,2678,1606
88,2678,1607
89,2678,1608
90,2679,1594
91,2679,1595
92,2679,1596
93,2679,1597
94,2679,1598
95,2679,1599
96,2679,1600
97,2679,1601
98,2679,1602
99,2679,1603
100,2679,1604
101,2679,1605
102,2679,1606
103,2679,1607
104,2679,1608
105,2680,1594
106,2680,1595
107,2680,1596
108,2680,1597
109,2680,1598
110,2680,1599
111,2680,1600
112,2680,1601
113,2680,1602
114,2680,1603
115,2680,1604
116,2680,1605
117,2680,1606
118,2680,1607
119,2680,1608
120,2681,1594
121,2681,1595
122,2681,1596
123,2681,1597
124,2681,1598
125,2681,1599
126,2681,1600
127,2681,1601
128,2681,1602
129,2681,1603
130,2681,1604
131,2681,1605
132,2681,1606
133,2681,1607
134,2681,1608
135,2682,1594
136,2682,1595
137,2682,1596
138,2682,1597
139,2682,1598
140,2682,1599
141,2682,1600
142,2682,1601
143,2682,1602
144,2682,1603
145,2682,1604
146,2682,1605
147,2682,1606
148,2682,1607
149,2682,1608
150,2683,1594
151,2683,1595
152,2683,1596
153,2683,1597
154,2683,1598
155,2683,1599
156,2683,1600
157,2683,1601
158,2683,1602
159,2683,1603
160,2683,1604
161,2683,1605
162,2683,1606
163,2683,1607
164,2683,1608
165,2684,1594
166,2684,1595
167,2684,1596
168,2684,1597
169,2684,1598
170,2684,1599
171,2684,1600
172,2684,1601
173,2684,1602
174,2684,1603
175,2684,1604
176,2684,1605
177,2684,1606
178,2684,1607
179,2684,1608
180,2685,1594
181,2685,1595
182,2685,1596
183,2685,1597
184,2685,1598
185,2685,1599
186,2685,1600
187,2685,1601
188,2685,1602
189,2685,1603
190,2685,1604
191,2685,1605
192,2685,1606
193,2685,1607
194,2685,1608
