,X,Y
0,1325,831
1,1325,832
2,1325,833
3,1325,834
4,1325,835
5,1325,836
6,1325,837
7,1325,838
8,1326,831
9,1326,832
10,1326,833
11,1326,834
12,1326,835
13,1326,836
14,1326,837
15,1326,838
16,1327,831
17,1327,832
18,1327,833
19,1327,834
20,1327,835
21,1327,836
22,1327,837
23,1327,838
24,1328,831
25,1328,832
26,1328,833
27,1328,834
28,1328,835
29,1328,836
30,1328,837
31,1328,838
32,1329,831
33,1329,832
34,1329,833
35,1329,834
36,1329,835
37,1329,836
38,1329,837
39,1329,838
40,1330,831
41,1330,832
42,1330,833
43,1330,834
44,1330,835
45,1330,836
46,1330,837
47,1330,838
48,1331,831
49,1331,832
50,1331,833
51,1331,834
52,1331,835
53,1331,836
54,1331,837
55,1331,838
