,X,Y
0,2719,1636
1,2719,1637
2,2719,1638
3,2719,1639
4,2719,1640
5,2719,1641
6,2719,1642
7,2719,1643
8,2719,1644
9,2719,1645
10,2719,1646
11,2719,1647
12,2719,1648
13,2719,1649
14,2720,1636
15,2720,1637
16,2720,1638
17,2720,1639
18,2720,1640
19,2720,1641
20,2720,1642
21,2720,1643
22,2720,1644
23,2720,1645
24,2720,1646
25,2720,1647
26,2720,1648
27,2720,1649
28,2721,1636
29,2721,1637
30,2721,1638
31,2721,1639
32,2721,1640
33,2721,1641
34,2721,1642
35,2721,1643
36,2721,1644
37,2721,1645
38,2721,1646
39,2721,1647
40,2721,1648
41,2721,1649
42,2722,1636
43,2722,1637
44,2722,1638
45,2722,1639
46,2722,1640
47,2722,1641
48,2722,1642
49,2722,1643
50,2722,1644
51,2722,1645
52,2722,1646
53,2722,1647
54,2722,1648
55,2722,1649
56,2723,1636
57,2723,1637
58,2723,1638
59,2723,1639
60,2723,1640
61,2723,1641
62,2723,1642
63,2723,1643
64,2723,1644
65,2723,1645
66,2723,1646
67,2723,1647
68,2723,1648
69,2723,1649
70,2724,1636
71,2724,1637
72,2724,1638
73,2724,1639
74,2724,1640
75,2724,1641
76,2724,1642
77,2724,1643
78,2724,1644
79,2724,1645
80,2724,1646
81,2724,1647
82,2724,1648
83,2724,1649
84,2725,1636
85,2725,1637
86,2725,1638
87,2725,1639
88,2725,1640
89,2725,1641
90,2725,1642
91,2725,1643
92,2725,1644
93,2725,1645
94,2725,1646
95,2725,1647
96,2725,1648
97,2725,1649
98,2726,1636
99,2726,1637
100,2726,1638
101,2726,1639
102,2726,1640
103,2726,1641
104,2726,1642
105,2726,1643
106,2726,1644
107,2726,1645
108,2726,1646
109,2726,1647
110,2726,1648
111,2726,1649
112,2727,1636
113,2727,1637
114,2727,1638
115,2727,1639
116,2727,1640
117,2727,1641
118,2727,1642
119,2727,1643
120,2727,1644
121,2727,1645
122,2727,1646
123,2727,1647
124,2727,1648
125,2727,1649
126,2728,1636
127,2728,1637
128,2728,1638
129,2728,1639
130,2728,1640
131,2728,1641
132,2728,1642
133,2728,1643
134,2728,1644
135,2728,1645
136,2728,1646
137,2728,1647
138,2728,1648
139,2728,1649
140,2729,1636
141,2729,1637
142,2729,1638
143,2729,1639
144,2729,1640
145,2729,1641
146,2729,1642
147,2729,1643
148,2729,1644
149,2729,1645
150,2729,1646
151,2729,1647
152,2729,1648
153,2729,1649
154,2730,1636
155,2730,1637
156,2730,1638
157,2730,1639
158,2730,1640
159,2730,1641
160,2730,1642
161,2730,1643
162,2730,1644
163,2730,1645
164,2730,1646
165,2730,1647
166,2730,1648
167,2730,1649
