,X,Y
0,5461,3482
1,5461,3483
2,5461,3484
3,5461,3485
4,5461,3486
5,5461,3487
6,5461,3488
7,5461,3489
8,5461,3490
9,5461,3491
10,5461,3492
11,5461,3493
12,5461,3494
13,5461,3495
14,5461,3496
15,5461,3497
16,5461,3498
17,5462,3482
18,5462,3483
19,5462,3484
20,5462,3485
21,5462,3486
22,5462,3487
23,5462,3488
24,5462,3489
25,5462,3490
26,5462,3491
27,5462,3492
28,5462,3493
29,5462,3494
30,5462,3495
31,5462,3496
32,5462,3497
33,5462,3498
34,5463,3482
35,5463,3483
36,5463,3484
37,5463,3485
38,5463,3486
39,5463,3487
40,5463,3488
41,5463,3489
42,5463,3490
43,5463,3491
44,5463,3492
45,5463,3493
46,5463,3494
47,5463,3495
48,5463,3496
49,5463,3497
50,5463,3498
51,5463,3499
52,5464,3482
53,5464,3483
54,5464,3484
55,5464,3485
56,5464,3486
57,5464,3487
58,5464,3488
59,5464,3489
60,5464,3490
61,5464,3491
62,5464,3492
63,5464,3493
64,5464,3494
65,5464,3495
66,5464,3496
67,5464,3497
68,5464,3498
69,5464,3499
70,5465,3482
71,5465,3483
72,5465,3484
73,5465,3485
74,5465,3486
75,5465,3487
76,5465,3488
77,5465,3489
78,5465,3490
79,5465,3491
80,5465,3492
81,5465,3493
82,5465,3494
83,5465,3495
84,5465,3496
85,5465,3497
86,5465,3498
87,5465,3499
88,5466,3482
89,5466,3483
90,5466,3484
91,5466,3485
92,5466,3486
93,5466,3487
94,5466,3488
95,5466,3489
96,5466,3490
97,5466,3491
98,5466,3492
99,5466,3493
100,5466,3494
101,5466,3495
102,5466,3496
103,5466,3497
104,5466,3498
105,5466,3499
106,5467,3482
107,5467,3483
108,5467,3484
109,5467,3485
110,5467,3486
111,5467,3487
112,5467,3488
113,5467,3489
114,5467,3490
115,5467,3491
116,5467,3492
117,5467,3493
118,5467,3494
119,5467,3495
120,5467,3496
121,5467,3497
122,5467,3498
123,5468,3482
124,5468,3483
125,5468,3484
126,5468,3485
127,5468,3486
128,5468,3487
129,5468,3488
130,5468,3489
131,5468,3490
132,5468,3491
133,5468,3492
134,5468,3493
135,5468,3494
136,5468,3495
137,5468,3496
138,5468,3497
139,5468,3498
140,5468,3499
141,5469,3482
142,5469,3483
143,5469,3484
144,5469,3485
145,5469,3486
146,5469,3487
147,5469,3488
148,5469,3489
149,5469,3490
150,5469,3491
151,5469,3492
152,5469,3493
153,5469,3494
154,5469,3495
155,5469,3496
156,5469,3497
157,5469,3498
158,5469,3499
159,5469,3500
160,5470,3482
161,5470,3483
162,5470,3484
163,5470,3485
164,5470,3486
165,5470,3487
166,5470,3488
167,5470,3489
168,5470,3490
169,5470,3491
170,5470,3492
171,5470,3493
172,5470,3494
173,5470,3495
174,5470,3496
175,5470,3497
176,5470,3498
177,5470,3499
178,5470,3500
179,5471,3482
180,5471,3483
181,5471,3484
182,5471,3485
183,5471,3486
184,5471,3487
185,5471,3488
186,5471,3489
187,5471,3490
188,5471,3491
189,5471,3492
190,5471,3493
191,5471,3494
192,5471,3495
193,5471,3496
194,5471,3497
195,5471,3498
196,5471,3499
197,5471,3500
198,5472,3482
199,5472,3483
200,5472,3484
201,5472,3485
202,5472,3486
203,5472,3487
204,5472,3488
205,5472,3489
206,5472,3490
207,5472,3491
208,5472,3492
209,5472,3493
210,5472,3494
211,5472,3495
212,5472,3496
213,5472,3497
214,5472,3500
215,5473,3482
216,5473,3483
217,5473,3484
218,5473,3485
219,5473,3486
220,5473,3487
221,5473,3488
222,5473,3489
223,5473,3490
224,5473,3491
225,5473,3492
226,5473,3493
227,5473,3494
228,5473,3495
229,5473,3496
230,5473,3497
231,5474,3482
232,5474,3483
233,5474,3484
234,5474,3485
235,5474,3486
236,5474,3487
237,5474,3488
238,5474,3489
239,5474,3490
240,5474,3491
241,5474,3492
242,5474,3493
243,5474,3494
244,5474,3495
245,5474,3496
246,5474,3497
247,5474,3499
248,5475,3482
249,5475,3483
250,5475,3484
251,5475,3485
252,5475,3486
253,5475,3487
254,5475,3488
255,5475,3489
256,5475,3490
257,5475,3491
258,5475,3492
259,5475,3493
260,5475,3494
261,5475,3495
262,5475,3496
263,5475,3497
264,5475,3498
265,5475,3499
266,5475,3500
267,5475,3501
268,5476,3482
269,5476,3483
270,5476,3484
271,5476,3485
272,5476,3486
273,5476,3487
274,5476,3488
275,5476,3489
276,5476,3490
277,5476,3491
278,5476,3492
279,5476,3493
280,5476,3494
281,5476,3495
282,5476,3496
283,5476,3497
284,5476,3498
285,5476,3499
286,5476,3500
287,5476,3501
288,5477,3482
289,5477,3483
290,5477,3484
291,5477,3485
292,5477,3486
293,5477,3487
294,5477,3488
295,5477,3489
296,5477,3490
297,5477,3491
298,5477,3492
299,5477,3493
300,5477,3494
301,5477,3495
302,5477,3496
303,5477,3497
304,5477,3498
305,5477,3499
306,5477,3500
307,5477,3501
308,5478,3482
309,5478,3483
310,5478,3484
311,5478,3485
312,5478,3486
313,5478,3487
314,5478,3488
315,5478,3489
316,5478,3490
317,5478,3491
318,5478,3492
319,5478,3493
320,5478,3494
321,5478,3495
322,5478,3496
323,5478,3497
324,5478,3498
325,5478,3499
326,5478,3500
327,5478,3501
328,5479,3482
329,5479,3483
330,5479,3484
331,5479,3485
332,5479,3486
333,5479,3487
334,5479,3488
335,5479,3489
336,5479,3490
337,5479,3491
338,5479,3492
339,5479,3493
340,5479,3494
341,5479,3495
342,5479,3496
343,5479,3497
344,5479,3498
345,5479,3499
346,5479,3500
347,5479,3501
348,5480,3482
349,5480,3483
350,5480,3484
351,5480,3485
352,5480,3486
353,5480,3487
354,5480,3488
355,5480,3489
356,5480,3490
357,5480,3491
358,5480,3492
359,5480,3493
360,5480,3494
361,5480,3495
362,5480,3496
363,5480,3497
364,5480,3498
365,5480,3499
366,5480,3500
367,5480,3501
368,5480,3502
369,5481,3482
370,5481,3483
371,5481,3484
372,5481,3485
373,5481,3486
374,5481,3487
375,5481,3488
376,5481,3489
377,5481,3490
378,5481,3491
379,5481,3492
380,5481,3493
381,5481,3494
382,5481,3495
383,5481,3496
384,5481,3497
385,5481,3498
386,5481,3499
